"No.","Time","Source","Destination","Protocol","Length","Info"
"114","1.843533","57.144.115.33","192.168.101.13","TCP","284","5222  >  52518 [PSH, ACK] Seq=1408 Ack=3185 Win=70912 Len=230 [TCP PDU reassembled in 119]"
"115","1.843533","57.144.115.33","192.168.101.13","TCP","153","5222  >  52518 [PSH, ACK] Seq=1638 Ack=3185 Win=70912 Len=99 [TCP PDU reassembled in 119]"
"116","1.843533","57.144.115.33","192.168.101.13","TCP","153","5222  >  52518 [PSH, ACK] Seq=1737 Ack=3185 Win=70912 Len=99 [TCP PDU reassembled in 119]"
"117","1.843533","57.144.115.33","192.168.101.13","TCP","286","5222  >  52518 [PSH, ACK] Seq=1836 Ack=3185 Win=70912 Len=232 [TCP PDU reassembled in 119]"
"118","1.843533","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=2068 Ack=3257 Win=70912 Len=0"
"119","1.843533","57.144.115.33","192.168.101.13","TCP","97","5222  >  52518 [PSH, ACK] Seq=2068 Ack=3257 Win=70912 Len=43 [TCP PDU reassembled in 119]"
"120","1.843775","192.168.101.13","57.144.115.33","TCP","54","52518  >  5222 [ACK] Seq=3257 Ack=2111 Win=64768 Len=0"
"121","3.686896","zhiyicommuni_49:83:8c","Broadcast","ARP","60","Who has 192.168.101.13? Tell 192.168.101.1"
"122","3.686979","AzureWaveTec_df:75:0d","zhiyicommuni_49:83:8c","ARP","42","192.168.101.13 is at 14:13:33:df:75:0d"
"123","3.923829","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","93","Standard query 0x9e11 A wpad.bbrouter"
"124","3.923973","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","93","Standard query 0x85ec AAAA wpad.bbrouter"
"125","3.926142","fe80::1","fe80::f036:1b87:d1eb:960a","DNS","93","Standard query response 0x9e11 No such name A wpad.bbrouter"
"126","3.926142","fe80::1","fe80::f036:1b87:d1eb:960a","DNS","93","Standard query response 0x85ec No such name AAAA wpad.bbrouter"
"127","6.349110","zhiyicommuni_49:83:8c","Broadcast","ARP","60","Who has 192.168.101.13? Tell 192.168.101.1"
"128","6.349186","AzureWaveTec_df:75:0d","zhiyicommuni_49:83:8c","ARP","42","192.168.101.13 is at 14:13:33:df:75:0d"
"129","7.106502","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","2600:1419:5600:7::5c7a:9d84","TCP","1418","52516  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1344 [TCP PDU reassembled in 133]"
"130","7.106502","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","2600:1419:5600:7::5c7a:9d84","TCP","1418","52516  >  443 [ACK] Seq=1345 Ack=1 Win=252 Len=1344 [TCP PDU reassembled in 133]"
"131","7.106502","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","2600:1419:5600:7::5c7a:9d84","TCP","1418","52516  >  443 [ACK] Seq=2689 Ack=1 Win=252 Len=1344 [TCP PDU reassembled in 133]"
"132","7.106502","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","2600:1419:5600:7::5c7a:9d84","TCP","1418","52516  >  443 [ACK] Seq=4033 Ack=1 Win=252 Len=1344 [TCP PDU reassembled in 133]"
"133","7.106502","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","2600:1419:5600:7::5c7a:9d84","TLSv1.2","91","Application Data"
"134","7.106657","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","2600:1419:5600:7::5c7a:9d84","TCP","1418","52516  >  443 [ACK] Seq=5394 Ack=1 Win=252 Len=1344 [TCP PDU reassembled in 135]"
"135","7.106657","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","2600:1419:5600:7::5c7a:9d84","TLSv1.2","998","Application Data"
"136","7.168507","2600:1419:5600:7::5c7a:9d84","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","TCP","74","443  >  52516 [ACK] Seq=1 Ack=2689 Win=613 Len=0"
"137","7.168507","2600:1419:5600:7::5c7a:9d84","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","TCP","74","443  >  52516 [ACK] Seq=1 Ack=5394 Win=592 Len=0"
"138","7.168507","2600:1419:5600:7::5c7a:9d84","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","TCP","74","443  >  52516 [ACK] Seq=1 Ack=6738 Win=582 Len=0"
"139","7.168507","2600:1419:5600:7::5c7a:9d84","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","TCP","74","443  >  52516 [ACK] Seq=1 Ack=7662 Win=575 Len=0"
"140","7.249679","2600:1419:5600:7::5c7a:9d84","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","TLSv1.2","273","Application Data"
"141","7.250099","2600:1419:5600:7::5c7a:9d84","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","TLSv1.2","105","Application Data"
"142","7.250188","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","2600:1419:5600:7::5c7a:9d84","TCP","74","52516  >  443 [ACK] Seq=7662 Ack=231 Win=251 Len=0"
"143","9.011886","zhiyicommuni_49:83:8c","Broadcast","ARP","60","Who has 192.168.101.13? Tell 192.168.101.1"
"144","9.011957","AzureWaveTec_df:75:0d","zhiyicommuni_49:83:8c","ARP","42","192.168.101.13 is at 14:13:33:df:75:0d"
"145","10.171687","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","93","Standard query 0x15dd A wpad.bbrouter"
"146","10.171687","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","93","Standard query 0x7e48 AAAA wpad.bbrouter"
"147","10.172125","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","93","Standard query 0x326b A wpad.bbrouter"
"148","10.172337","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","93","Standard query 0xcafb AAAA wpad.bbrouter"
"149","10.175510","fe80::1","fe80::f036:1b87:d1eb:960a","DNS","93","Standard query response 0x15dd No such name A wpad.bbrouter"
"150","10.175510","fe80::1","fe80::f036:1b87:d1eb:960a","DNS","93","Standard query response 0x7e48 No such name AAAA wpad.bbrouter"
"151","10.175510","fe80::1","fe80::f036:1b87:d1eb:960a","DNS","93","Standard query response 0x326b No such name A wpad.bbrouter"
"152","10.175510","fe80::1","fe80::f036:1b87:d1eb:960a","DNS","93","Standard query response 0xcafb No such name AAAA wpad.bbrouter"
"153","10.965530","fe80::f036:1b87:d1eb:960a","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for fe80::1 from 14:13:33:df:75:0d"
"154","10.967520","fe80::1","fe80::f036:1b87:d1eb:960a","ICMPv6","86","Neighbor Advertisement fe80::1 (rtr, sol, ovr) is at 74:54:6b:49:83:8c"
"155","10.989738","fe80::f036:1b87:d1eb:960a","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for fe80::1 from 14:13:33:df:75:0d"
"156","10.990918","fe80::1","fe80::f036:1b87:d1eb:960a","ICMPv6","86","Neighbor Advertisement fe80::1 (rtr, sol, ovr) is at 74:54:6b:49:83:8c"
"157","10.997849","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","96","Standard query 0xfbfd AAAA dns.msftncsi.com"
"158","11.059595","fe80::1","fe80::f036:1b87:d1eb:960a","DNS","124","Standard query response 0xfbfd AAAA dns.msftncsi.com AAAA fd3e:4f5a:5b81::1"
"159","12.596068","zhiyicommuni_49:83:8c","Broadcast","ARP","60","Who has 192.168.101.13? Tell 192.168.101.1"
"160","12.596142","AzureWaveTec_df:75:0d","zhiyicommuni_49:83:8c","ARP","42","192.168.101.13 is at 14:13:33:df:75:0d"
"161","12.943971","192.168.101.13","57.144.115.33","TCP","54","52518  >  5222 [FIN, ACK] Seq=3257 Ack=2111 Win=64768 Len=0"
"162","13.005229","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=2111 Ack=3258 Win=70912 Len=0"
"163","13.107933","57.144.115.33","192.168.101.13","TCP","54","5222  >  52518 [FIN, ACK] Seq=2111 Ack=3258 Win=70912 Len=0"
"164","13.108116","192.168.101.13","57.144.115.33","TCP","54","52518  >  5222 [ACK] Seq=3258 Ack=2112 Win=64768 Len=0"
"165","15.258546","zhiyicommuni_49:83:8c","Broadcast","ARP","60","Who has 192.168.101.13? Tell 192.168.101.1"
"166","15.258619","AzureWaveTec_df:75:0d","zhiyicommuni_49:83:8c","ARP","42","192.168.101.13 is at 14:13:33:df:75:0d"
"167","15.370439","AzureWaveTec_df:75:0d","Broadcast","ARP","42","Who has 192.168.101.1? Tell 192.168.101.13"
"168","15.371591","zhiyicommuni_49:83:8c","AzureWaveTec_df:75:0d","ARP","42","192.168.101.1 is at 74:54:6b:49:83:8c"
"169","15.393081","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","96","Standard query 0x79fc A dns.msftncsi.com"
"170","15.463404","fe80::1","fe80::f036:1b87:d1eb:960a","DNS","112","Standard query response 0x79fc A dns.msftncsi.com A 131.107.255.255"
"171","15.977264","fe80::1","fe80::f036:1b87:d1eb:960a","ICMPv6","86","Neighbor Solicitation for fe80::f036:1b87:d1eb:960a from 74:54:6b:49:83:8c"
"172","15.977547","fe80::f036:1b87:d1eb:960a","fe80::1","ICMPv6","86","Neighbor Advertisement fe80::f036:1b87:d1eb:960a (sol, ovr) is at 14:13:33:df:75:0d"
"173","17.764092","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","104","Standard query 0x2870 A ipv6.msftconnecttest.com"
"174","17.764092","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","104","Standard query 0xd983 AAAA ipv6.msftconnecttest.com"
"175","17.778022","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","103","Standard query 0xdb48 A www.msftconnecttest.com"
"176","17.778018","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","103","Standard query 0xf874 AAAA www.msftconnecttest.com"
